bank_name,city,audience_type,interest_rate,loan_amount,tenure_years,emi_amount,total_interest,total_payment
SBI,Hyderabad,Salaried - IT/Corporate,8.94,3000000,20,26876.0,3450269.0,6450269.0
SBI,Hyderabad,Salaried - IT/Corporate,8.94,3000000,25,25053.0,4515823.0,7515823.0
SBI,Hyderabad,Salaried - IT/Corporate,8.94,5000000,15,50535.0,4096304.0,9096304.0
SBI,Hyderabad,Salaried - IT/Corporate,8.94,5000000,20,44794.0,5750449.0,10750449.0
SBI,Hyderabad,Salaried - IT/Corporate,8.94,5000000,25,41755.0,7526372.0,12526372.0
SBI,Hyderabad,Salaried - IT/Corporate,8.94,7500000,15,75803.0,6144456.0,13644456.0
SBI,Hyderabad,Salaried - IT/Corporate,8.94,7500000,20,67190.0,8625674.0,16125674.0
SBI,Hyderabad,Salaried - IT/Corporate,8.94,7500000,25,62632.0,11289558.0,18789558.0
SBI,Hyderabad,Salaried - Government/PSU,8.89,3000000,15,30232.0,2441760.0,5441760.0
SBI,Hyderabad,Salaried - Government/PSU,8.89,3000000,20,26780.0,3427178.0,6427178.0
SBI,Hyderabad,Salaried - Government/PSU,8.89,3000000,25,24950.0,4485089.0,7485089.0
SBI,Hyderabad,Salaried - Government/PSU,8.89,5000000,15,50387.0,4069600.0,9069600.0
SBI,Hyderabad,Salaried - Government/PSU,8.89,5000000,20,44633.0,5711964.0,10711964.0
SBI,Hyderabad,Salaried - Government/PSU,8.89,5000000,25,41584.0,7475149.0,12475149.0
SBI,Hyderabad,Salaried - Government/PSU,8.89,7500000,15,75580.0,6104400.0,13604400.0
SBI,Hyderabad,Salaried - Government/PSU,8.89,7500000,20,66950.0,8567946.0,16067946.0
SBI,Hyderabad,Salaried - Government/PSU,8.89,7500000,25,62376.0,11212724.0,18712724.0
SBI,Hyderabad,Self-Employed - Professional,8.99,3000000,15,30410.0,2473828.0,5473828.0
SBI,Hyderabad,Self-Employed - Professional,8.99,3000000,20,26972.0,3473397.0,6473397.0
SBI,Hyderabad,Self-Employed - Professional,8.99,3000000,25,25155.0,4546605.0,7546605.0
SBI,Hyderabad,Self-Employed - Professional,8.99,5000000,15,50684.0,4123046.0,9123046.0
